매출일자,품명,수량
20031020,아침식사,42.88808664
20031020,점심식사,47.6534296
20031020,저녁식사,24.18772563
20031021,아침식사,45.27075812
20031021,점심식사,47.22021661
20031021,저녁식사,22.16606498
20031022,아침식사,44.54873646
20031022,점심식사,47.8700361
20031022,저녁식사,22.02166065
20031023,아침식사,45.48736462
20031023,점심식사,49.67509025
20031023,저녁식사,20.57761733
20031024,아침식사,46.71480144
20031024,점심식사,46.35379061
20031024,저녁식사,14.36823105
20031025,아침식사,42.88808664
20031025,점심식사,35.01805054
20031025,저녁식사,16.31768953
20031026,아침식사,36.96750903
20031026,점심식사,24.2599278
20031026,저녁식사,18.98916968
20031027,아침식사,42.81588448
20031027,점심식사,53.86281588
20031027,저녁식사,22.59927798
20031028,아침식사,40.36101083
20031028,점심식사,49.02527076
20031028,저녁식사,18.98916968
20031029,아침식사,41.87725632
20031029,점심식사,43.8267148
20031029,저녁식사,19.42238267
20031030,아침식사,42.02166065
20031030,점심식사,50.03610108
20031030,저녁식사,21.01083032
20031031,아침식사,44.90974729
20031031,점심식사,51.19133574
20031031,저녁식사,19.06137184
20031101,아침식사,42.96028881
20031101,점심식사,26.85920578
20031101,저녁식사,17.97833935
20031102,아침식사,38.19494585
20031102,점심식사,24.62093863
20031102,저녁식사,20.93862816
20031103,아침식사,40.72202166
20031103,점심식사,53.64620939
20031103,저녁식사,22.88808664
20031104,아침식사,41.44404332
20031104,점심식사,51.40794224
20031104,저녁식사,20.28880866
20031105,아침식사,42.45487365
20031105,점심식사,54.51263538
20031105,저녁식사,22.96028881
20031106,아침식사,41.73285199
20031106,점심식사,45.27075812
20031106,저녁식사,21.94945848
20031107,아침식사,42.81588448
20031107,점심식사,48.88086643
20031107,저녁식사,18.05054152
20031108,아침식사,37.68953069
20031108,점심식사,25.55956679
20031108,저녁식사,15.30685921
20031109,아침식사,40.36101083
20031109,점심식사,23.97111913
20031109,저녁식사,19.06137184
20031110,아침식사,42.59927798
20031110,점심식사,53.64620939
20031110,저녁식사,21.15523466
20031111,아침식사,39.20577617
20031111,점심식사,40.57761733
20031111,저녁식사,21.01083032
20031112,아침식사,41.80505415
20031112,점심식사,45.84837545
20031112,저녁식사,22.96028881
20031113,아침식사,41.22743682
20031113,점심식사,50.90252708
20031113,저녁식사,21.44404332
20031114,아침식사,41.80505415
20031114,점심식사,47.36462094
20031114,저녁식사,17.83393502
20031115,아침식사,37.61732852
20031115,점심식사,22.88808664
20031115,저녁식사,14.22382671
20031116,아침식사,37.83393502
20031116,점심식사,20.86642599
20031116,저녁식사,15.66787004
20031117,아침식사,39.71119134
20031117,점심식사,52.20216606
20031117,저녁식사,21.73285199
20031118,아침식사,39.42238267
20031118,점심식사,47.36462094
20031118,저녁식사,20.2166065
20031119,아침식사,39.42238267
20031119,점심식사,43.10469314
20031119,저녁식사,20.36101083
20031120,아침식사,39.71119134
20031120,점심식사,46.57039711
20031120,저녁식사,19.35018051
20031121,아침식사,39.06137184
20031121,점심식사,41.94945848
20031121,저녁식사,21.01083032
20031122,아침식사,38.48375451
20031122,점심식사,25.19855596
20031122,저녁식사,13.14079422
20031123,아침식사,36.89530686
20031123,점심식사,30.10830325
20031123,저녁식사,19.49458484
20031124,아침식사,38.70036101
